一   0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 228 559 694 695 698 727 852 920 921 922 923 924 925 926 927 928 929 930 931 932 933 934 935 936 937 938 939 940 941 942 943 944 1240 1272 1273 1798 1930 1989 2014 2202 2298 2299 2300 2301 2302 2303 2304 2305 2306 2307 2308 2309 2310 2311 2312 2313 2314 2315 2527 2553 2927 2952 3011 3090 3120 3270 3336 3337 3338 3339 3340 3341 3342 3343 3344 3345 3346 3347 3348 3349 3350 3351 3352 3353 3354 3355 3356 3357 3358 3359 3373 3484 3573 3719 3796 3797 3825 4214 4352 4396 4448 4564 4565 4611 4649 4795 4801 4910 4911 4912 4913 4914 4915 4916 4917 4918 4919 4920 4921 4922 4923 4924 5425 5454 5547 5553 5602 5603 5604 5605 5606 5607 5608 5609 5610 5611 5612 5613 5614 5615 5616 5617 5618 5619 5620 5621 5622 5623 5624 5625 5626 5627 5628 5629 5630 5631 5632 5633 5634 5635 5636 5637 5638 5639 5640 5650 5950 6066 6301 6433 6465 6476 6537 6833 7301 7388 7477 7550 7955 7956 7957 8052 8053 8420 8426 8616 8647 8648 8649 8650 8651 8652 8653 8654 8655 8656 8657 8658 8659 8660 8661 8662 8663 8664 8665 8666 8667 8668 8669 8917 9115 9116 9146 9153 9178 9212 9882 9922 10009 10122 10237 10238 10239 10240 10241 10242 10243 10244 10245 10246 10247 10248 10249 10250 10251 10252 10253 10254 10255 10256 10257 10258 10259 10260 10261 10262 10263 10264 10693 10766 11069 11188 11513 11549 11764 11848 12015 12194 12204 12236 12352 12365 12366 12367 12368 12369 12370 12371 12372 12373 12374 12375 12376 12377 12378 12379 12380 12387 12629 12738 13445 13446 13489 13624 13664 13806 13807 13808 13809 13810 13811 13812 13813 13814 13815 13816 13817 13818 13819 13820 13821 14095 14471 14513 14616 14625 14710 14711 14712 14713 14714 14715 14716 14717 14718 14719 14720 14721 14722 14723 14724 14725 14726 14727 14728 14729 14730 14731 14732 14733 14734 14735 14736 14737 14738 14739 14740 14741 14742 14743 14744 14745 14966 14996 14997 15204 15236 15389 15849 15926 16089 16153 16154 16442 16452 16464 16602 16603 16604 16605 16606 16607 16608 16609 16610 16611 16612 16613 16614 16615 16616 16617 16618 16619 16620 16621 16622 16623 16624 16625 16626 16627 16628 16629 16630 16631 16632 16633 16634 16645 17019 17115 17562 17827 17969 17970 17971 18275 18276 18283 18402 18411 18412 18413 18414 18415 18416 18417 18418 18419 18575 18603 18765 19359 19418 19419 19420 19421 19422 19423 19424 19425 19426 19427 19428 19429 19430 19431 19432 19433 19434 19435 19436 19437 19438 19439 19440 19441 19442 19443 19444 19445 19446 19447 19708 19814 19815 19816 19817 19818 19846 20129 20357 20358 20540 20628 20629 20630 20631 20632 20633 20634 20635 20636 20637 20638 21191 21236 21237 21238 21239 21240 21241 21242 21243 21244 21245 21246 21247 21248 21249 21250 21251 21411 21673 21674 21761 21827 21828 21829 21830 21831 21832 21833 21834 21835 21836 21837 21838 21839 21840 21841 21842 21843 21844 21845 21846 21847 21848 21849 21850 21851 21852 21853 21854 21855 21856 21857 21858 21859 21860 22369 22399 22477 22510 22536 22546 22936 22952 23180 23315 23316 23317 23354 23451 23603 23613 23745 23746 23747 23748 23749 23750 23751 23752 23753 23754 23755 23756 23757 23758 23759 23760 23761 23762 23763 23764 23765 23766 23767 23768 23769 23770 23771 23772 23773 23774 23775 23776 23777 23884 24185 24218 24600 24894 24957 24994 25313 25314 25315 25316 25317 25318 25319 25320 25321 25322 25323 25324 25325 25326 25327 25328 25329 25330 25331 25332 25333 25334 25335 25336 25337 25338 25339 25340 25341 25342 25343 25344 25345 25346 25347 25348 25349 25350 25351 25352 25353 25672 25799 26040 26065 26067 26549 26944 26978 27040 27071 27364 27368 27542 27543 27544 27545 27546 27547 27548 27575 27641 27960 27961 27978 28048 28096 28097 28098 28099 28100 28101 28102 28103 28104 28105 28293 28319 28419 28560 28561 28654 28682 28746 28822 28823 28824 28825 28826 28827 28828 28829 28830 28831 28832 28833 28895 28997 29007 29358 29445 
丁   115 945 3553 5892 7169 10265 12345 12381 12382 14746 16635 26262 
七   3706 3707 4925 5641 5642 5643 5644 6302 6303 8670 8671 8817 12451 15116 16155 16636 17010 19419 19448 19449 19450 19451 19455 19544 20097 21861 21862 22196 25354 25355 28106 28107 
万   88 264 946 3360 3715 3865 5602 5645 5646 5647 5999 6181 6314 6315 6623 7575 8672 8673 8674 9186 9459 10392 10691 11221 12383 12384 12605 13882 19452 19453 19454 20687 21863 21864 21865 21866 22495 23778 23929 24114 24116 25356 25357 25358 25359 25360 25361 25362 25363 25364 25859 26070 27549 
丈   14747 17167 23779 26044 27549 
三   19 20 21 696 947 948 949 950 951 952 1177 2316 2489 3091 3361 3362 3363 3364 3365 3366 3367 3368 3615 3708 4158 4361 4566 5426 5648 5649 5650 5651 5652 5653 5654 5655 5656 5657 5658 5659 5660 5661 5662 5663 5664 5665 5666 5667 5727 5848 6466 6825 7899 7958 7959 7960 7961 8637 8675 8676 8677 8678 8679 8680 9883 9884 10069 10266 10267 10268 10581 11849 12385 12386 12387 12388 12389 12390 13822 13823 13824 14748 14749 15385 16156 16637 16638 16639 17972 19183 19455 19456 19457 19458 19459 19460 19461 19462 19463 19464 19465 19466 19467 19468 19469 19470 19471 19666 20359 21252 21253 21472 21867 21868 21869 21870 21871 21872 21873 21874 21875 21876 23318 23511 23780 23781 23782 25365 25366 25367 25368 25478 27324 27415 27550 27551 27962 28108 28109 28110 28111 28369 28397 28655 28834 28835 29362 
上   22 23 24 179 262 307 449 657 764 824 953 954 955 983 1085 1644 2145 2172 2243 2270 2317 2318 2319 2320 2321 2322 2323 2376 2428 2490 2491 2761 2932 3369 3370 3371 3372 3450 3483 3524 3697 3860 3938 4660 4778 4926 4927 4974 5668 5669 5670 5671 5808 5845 6270 6446 6492 6699 6804 7006 7552 8156 8159 8358 8681 8682 8683 8684 8685 8686 8687 8763 8867 8875 9162 9179 9266 9459 9957 10373 10407 10449 10856 10881 10979 11221 12391 12392 12393 12394 12395 12396 12397 12452 12519 12550 12608 13286 13532 13645 13825 13826 14007 14088 14151 14750 14751 14752 14753 14754 14755 14758 14848 14882 14918 15100 15119 15197 15214 15313 15368 15436 15500 15846 16166 16257 16402 16590 16640 16641 16642 16763 16998 17249 17312 17878 18467 18730 19008 19403 19588 19594 19778 19829 19830 20129 20143 20174 20402 20515 20639 20850 20881 21301 21423 21453 21755 21877 21878 21879 21880 21929 21976 22088 22366 22481 22560 22664 22669 23411 23485 23783 23784 23785 23786 23787 23942 24174 24195 24351 24655 24774 24888 25306 25369 25370 25371 25372 25549 25604 25794 25884 25951 25998 26023 27009 27224 27320 27335 27409 27517 27649 27859 27942 28112 28113 28181 28277 28638 28778 28790 28836 28837 28838 28839 28898 29016 29037 29058 
下   0 252 291 328 375 655 920 956 983 1091 1439 1521 1728 1811 1927 1950 1970 2280 2292 2377 2429 3336 3887 4480 4527 4559 4605 4732 4893 4928 5630 5672 5673 5674 5675 5699 6291 6367 6940 7822 8059 8613 8688 8689 8690 8867 9208 9877 10045 10237 10269 10270 10374 11720 11759 12398 12399 12400 12429 12537 12650 12789 13259 13365 13613 13718 14070 14152 14542 14711 14756 14757 14758 14759 14849 14874 15333 15411 15460 15670 15868 16150 16414 16602 16626 16643 16644 16850 17099 17329 17904 17966 17977 18411 18420 18712 18747 18795 18917 19472 19473 19856 20174 20640 21236 21254 21255 21881 21977 22119 22492 22511 23745 23788 23789 23790 23791 24245 24305 25373 25374 25479 25611 25719 25783 25939 25951 26064 26065 26242 26456 26966 27033 27198 27520 28057 28114 28115 28116 28153 28182 28379 28497 28822 28905 28994 
不   25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 364 490 643 670 782 942 957 958 959 960 961 962 963 964 965 966 967 968 969 970 971 972 973 974 975 976 977 978 979 980 981 982 983 984 985 986 1379 1511 1593 1701 1771 1820 2013 2093 2324 2325 2326 2327 2328 2329 2330 2331 2332 2333 2334 2335 2336 2337 2338 2339 2340 2341 2342 2343 2344 2345 2346 2350 2418 2513 2587 2695 2752 2856 2939 3025 3071 3373 3374 3375 3376 3377 3378 3379 3380 3381 3382 3383 3384 3385 3386 3387 3388 3389 3390 3391 3392 3393 3394 3395 3396 3397 3398 3399 3400 3401 3402 3403 3438 3493 3847 3975 4016 4017 4215 4217 4246 4372 4610 4615 4659 4681 4686 4725 4808 4810 4814 4929 4930 4931 4932 4933 4934 4935 4936 4937 4938 4939 4940 4941 4942 4943 5161 5415 5676 5677 5678 5679 5680 5681 5682 5683 5684 5685 5686 5687 5688 5689 5690 5691 5692 5693 5694 5695 5696 5697 5698 5699 5700 5701 5702 5703 5704 5705 5706 5929 6165 6166 6167 6284 6393 6455 6863 6871 7552 7582 7816 7863 7915 8136 8678 8691 8692 8693 8694 8695 8696 8697 8698 8699 8700 8701 8702 8703 8704 8705 8706 8707 8708 8709 8710 8711 8712 8713 8714 8715 8716 8868 8960 9001 9013 9110 9279 9381 9536 9696 9817 9895 10271 10272 10273 10274 10275 10276 10277 10278 10279 10280 10281 10282 10283 10284 10285 10286 10287 10288 10289 10290 10291 10292 10293 10294 10295 10296 10297 10298 10299 10300 10301 10302 10303 10304 10305 10306 10307 10308 10309 10310 10311 10312 10313 10372 10391 10527 10543 10561 10616 10769 11069 11141 11153 11180 11231 11232 11389 11390 11420 11524 11563 11904 12053 12208 12212 12220 12401 12402 12403 12404 12405 12406 12407 12408 12409 12410 12411 12412 12413 12576 12735 12930 13099 13221 13235 13827 13828 13829 13830 13831 13832 13833 13834 13835 13836 13837 13922 14165 14384 14414 14491 14539 14760 14761 14762 14763 14764 14765 14766 14767 14768 14769 14770 14771 14772 14773 14774 14775 14776 14777 14778 14779 14780 14781 14782 14783 14784 14785 14786 14787 14788 14789 14790 14791 14792 14793 14794 14795 14796 14797 14798 14799 14800 14801 14802 14803 14804 14805 14806 14807 14808 14809 14838 15262 15424 15450 15509 15524 15545 15579 15719 15893 15957 16138 16166 16208 16247 16455 16508 16545 16645 16646 16647 16648 16649 16650 16651 16652 16653 16654 16655 16656 16657 16658 16659 16660 16661 16662 16663 16664 16665 16666 16667 16668 16669 16670 16671 16672 16673 16674 16675 16676 16677 16678 16679 16680 16681 16682 16683 16684 16796 16917 16933 16963 17367 17616 17725 17736 17758 17965 18014 18053 18136 18421 18422 18423 18424 18425 18426 18427 18428 18429 18430 18431 18432 18549 18952 19176 19474 19475 19476 19477 19478 19479 19480 19481 19482 19483 19484 19485 19486 19487 19488 19489 19490 19491 19492 19493 19494 19495 19496 19497 19498 19659 20342 20468 20641 20642 20643 20644 20645 20646 20647 20648 20649 20650 20651 20652 20653 20748 20802 20980 21256 21257 21258 21259 21260 21261 21262 21263 21264 21265 21266 21267 21408 21474 21496 21498 21631 21770 21882 21883 21884 21885 21886 21887 21888 21889 21890 21891 21892 21893 21894 21895 21896 21897 21898 21899 21900 21901 21902 21903 21904 21905 21906 21907 21908 21909 21910 21911 21912 21913 21914 21915 21916 21917 21918 21919 21920 21921 21922 21923 21924 21925 21926 21975 22019 22401 22608 22885 23113 23221 23291 23792 23793 23794 23795 23796 23797 23798 23799 23800 23801 23802 23803 23804 23805 23806 23807 23808 23809 23810 23811 23812 23813 23814 23815 23816 23817 23818 23819 23820 23821 23822 23823 23824 23825 24046 24197 24391 24543 24561 24651 24809 24879 25172 25375 25376 25377 25378 25379 25380 25381 25382 25383 25384 25385 25386 25387 25388 25389 25390 25391 25392 25393 25394 25395 25396 25397 25398 25399 25400 25401 25402 25403 25404 25405 25406 25407 25408 25409 25410 25411 25412 25413 25414 25415 25416 25417 25418 25419 25420 25421 25422 25423 25600 25811 25897 25914 26169 26320 26550 26744 26839 26881 26907 26936 27125 27299 27552 27631 27730 28117 28118 28119 28120 28121 28122 28123 28124 28125 28126 28127 28138 28164 28406 28419 28563 28565 28681 28811 28840 28841 28842 28843 28844 28845 28846 28847 28848 28849 28850 28851 28852 28853 28854 28855 28856 28857 28858 28859 28860 28861 28879 28932 29253 29323 29358 
与   1723 1758 2347 2348 3741 6361 8717 8718 8719 8840 9384 10070 10314 10315 10316 10728 10874 12492 12493 13837 13989 14810 16685 16686 16687 17137 18559 18615 20654 20790 21154 21385 22055 23061 23162 23163 23512 23826 25424 25879 28973 
